typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2
PKT,   37956, 5393.564,13600,00,f, 12,  253,#,fdf09d8d0300c5db          , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37957, 5393.578,13600,00,f, 12, 1010,f,c3f2a091                  , 31,   ,187,454,  ,10, ,+,      ,0f0f
PKT,   37958, 5393.586,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37959, 5393.592,13600,00,f, 12, 1012,f,c3f4a097                  , 31,   ,187,454,  , 0, ,+,      ,0f0f
PKT,   37960, 5393.600,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37961, 5393.606,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37962, 5393.612,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37963, 5393.618,13600,00,f, 12, 1004,S,c3ec3f8191                , 31,   ,197,454,  ,10, ,-,      ,5aac655aac63
PKT,   37964, 5393.628,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37965, 5393.634,13400,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37966, 5393.640,13400,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37967, 5393.646,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37968, 5393.652,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37969, 5393.658,13400,00,f, 12, 1006,S,c3ee3f8193                , 30,   ,196,454,  , 1, ,+,      ,5aac655aac63
PKT,   37970, 5393.667,13600,00,f, 12, 1008,S,c3f03f818d                , 30,   ,197,454,  , 1, ,-,      ,5aac655aac63
PKT,   37971, 5393.676,13600,00,f, 12,  254,:,feff9d8d0312              , 27,   ,   ,460,  ,  , , ,      ,
PKT,   37972, 5393.687,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37973, 5393.693,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37974, 5393.699,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
